,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With private health insurance,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With public coverage
119,80521,CO,40.59,-105.13,2,000300,08,069,93.2,81.4,24.9
120,80524,CO,40.7,-105.0,3,002502,08,069,94.7,69.8,29.6
121,80525,CO,40.52,-105.02,2,001605,08,069,96.7,89.3,12.5
122,80528,CO,40.48,-105.0,1,001608,08,069,93.3,81.0,17.6
123,80537,CO,40.4,-105.2,3,001808,08,069,92.2,73.3,35.8
124,80540,CO,40.2,-105.4,3,013602,08,013,91.0,69.9,45.9
125,80602,CO,39.96,-104.91,6,008541,08,001,92.9,83.8,25.0
126,80640,CO,39.88,-104.88,2,008535,08,001,90.7,76.7,18.2
127,80701,CO,40.2,-103.8,1,000600,08,087,95.8,65.2,42.0
128,80808,CO,39.0,-104.3,2,003909,08,041,85.8,59.5,37.2
129,80816,CO,38.8,-105.4,4,000500,08,093,91.5,65.2,44.0
130,80817,CO,38.6,-104.7,2,004511,08,041,92.2,73.9,28.1
131,80820,CO,38.8,-105.6,1,000500,08,093,91.5,65.2,44.0
132,80829,CO,38.83,-104.93,4,003400,08,041,90.9,70.5,37.6
133,80831,CO,39.0,-104.5,7,003909,08,041,85.8,59.5,37.2
134,80904,CO,38.86,-104.87,1,006600,08,041,92.7,73.7,35.8
135,80905,CO,38.83,-104.83,2,002300,08,041,87.6,43.8,55.8
136,80906,CO,38.78,-104.85,10,003100,08,041,96.8,80.3,36.6
137,80907,CO,38.88,-104.82,5,000302,08,041,80.3,40.8,48.5
138,80909,CO,38.85,-104.77,8,002000,08,041,85.2,45.8,50.6
139,80915,CO,38.85,-104.72,3,005000,08,041,90.0,67.6,35.5
140,80916,CO,38.8,-104.72,1,004008,08,041,98.5,96.6,9.5
141,80917,CO,38.89,-104.75,8,005502,08,041,87.8,60.1,39.6
142,80919,CO,38.93,-104.9,24,003701,08,041,91.2,71.4,30.6
143,80920,CO,38.96,-104.77,19,007000,08,041,96.2,91.0,14.9
144,80921,CO,39.0,-104.9,7,003801,08,041,97.5,93.1,11.8
145,80922,CO,38.89,-104.7,2,005109,08,041,94.7,82.1,26.5
146,80923,CO,38.92,-104.71,15,005106,08,041,93.7,81.5,22.9
147,80924,CO,38.96,-104.73,9,007101,08,041,96.1,88.8,18.1
148,80925,CO,38.8,-104.6,3,004603,08,041,91.9,78.3,24.7
149,80930,CO,38.81,-104.49,1,004603,08,041,91.9,78.3,24.7
150,80951,CO,38.89,-104.65,1,005104,08,041,97.3,80.8,26.4
151,81003,CO,38.27,-104.68,3,002901,08,101,88.3,42.5,52.2
152,81004,CO,38.1,-104.7,6,002804,08,101,94.2,57.3,54.5
153,81006,CO,38.2,-104.5,14,003200,08,101,95.3,57.9,55.3
154,81007,CO,38.4,-104.8,12,002918,08,101,92.9,76.1,29.4
155,81019,CO,37.94,-104.84,1,002804,08,101,94.2,57.3,54.5
156,81020,CO,37.4,-104.7,1,000100,08,071,91.7,47.5,62.7
157,81021,CO,38.5,-103.3,2,960100,08,061,93.1,68.1,39.7
158,81023,CO,38.1,-104.9,1,002806,08,101,94.8,68.2,42.9
159,81050,CO,38.0,-103.5,1,968300,08,089,,60.1,47.2
160,81067,CO,38.0,-103.7,1,968200,08,089,88.3,63.6,41.1
161,81069,CO,37.9,-104.9,1,002804,08,101,94.2,57.3,54.5
162,81101,CO,37.5,-105.8,1,960100,08,003,88.6,54.2,47.1
163,81122,CO,37.4,-107.6,1,970600,08,067,93.5,76.8,32.4
164,81131,CO,37.95,-105.72,1,977600,08,109,78.2,35.0,52.6
165,81132,CO,37.7,-106.6,2,977000,08,105,83.9,57.5,40.8
166,81137,CO,37.1,-107.6,1,940300,08,067,86.8,63.4,34.0
167,81212,CO,38.5,-105.4,51,979000,08,043,89.5,61.5,47.6
168,81223,CO,38.4,-105.6,6,979000,08,043,89.5,61.5,47.6
169,81224,CO,38.9,-106.9,1,963800,08,051,86.5,70.3,21.7
170,81226,CO,38.3,-105.1,5,979400,08,043,88.4,57.3,49.3
171,81244,CO,38.3,-105.2,2,979400,08,043,,57.3,49.3
172,81252,CO,38.1,-105.5,5,970100,08,027,88.0,53.6,60.2
173,81303,CO,37.2,-107.9,1,940400,08,067,87.6,68.4,32.2
174,81506,CO,39.12,-108.54,1,001600,08,077,95.0,82.3,36.3
175,81601,CO,39.6,-107.3,1,951600,08,045,76.5,46.8,34.8
176,81620,CO,39.63,-106.52,1,000503,08,037,73.9,63.8,12.7
177,81631,CO,39.66,-106.82,1,000403,08,037,85.0,78.3,13.2
178,81632,CO,39.5,-106.6,2,000402,08,037,77.4,65.7,18.2
179,84067,UT,41.18,-112.05,2,210506,49,057,90.4,82.4,12.9
180,85085,AZ,33.75,-112.06,1,612200,04,013,95.0,87.1,15.2
181,85268,AZ,33.6,-111.74,1,216821,04,013,98.0,83.8,39.3
182,85396,AZ,33.6,-112.6,1,050605,04,013,92.6,71.5,28.5
183,85541,AZ,34.1,-111.2,1,000600,04,007,84.2,47.7,62.5
184,85641,AZ,32.0,-110.7,1,004109,04,019,94.1,72.0,37.4
185,85901,AZ,34.0,-110.1,1,940200,04,007,84.4,16.5,69.6
186,86351,AZ,34.8,-111.7,1,001703,04,025,93.4,73.9,56.3
187,87015,NM,35.1,-106.2,1,010311,35,049,98.1,74.6,32.6
188,87048,NM,35.24,-106.62,1,010602,35,043,96.8,87.1,35.6
189,87110,NM,35.11,-106.58,2,000207,35,001,90.9,66.8,41.4
190,87120,NM,35.1,-106.8,2,940600,35,001,90.2,65.1,32.2
191,87401,NM,36.5,-108.3,1,943000,35,045,72.4,26.5,51.1
