,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans
344,37205,TN,36.11,-86.87,1,018203,47,037,6.3
345,37212,TN,36.13,-86.8,3,016900,47,037,2.8
346,37221,TN,36.06,-86.96,1,018407,47,037,6.1
347,37388,TN,35.3,-86.2,1,960201,47,051,14.0
348,37604,TN,36.3,-82.38,1,060502,47,179,13.0
349,37694,TN,36.38,-82.28,1,071100,47,019,15.0
350,37774,TN,35.7,-84.4,1,060700,47,105,7.9
351,37830,TN,36.0,-84.3,1,020100,47,001,10.9
352,38011,TN,35.5,-89.7,1,040500,47,167,11.5
353,38138,TN,35.08,-89.79,1,021341,47,157,9.1
354,38231,TN,36.22,-88.42,1,969800,47,079,7.8
355,38871,MS,34.33,-89.19,1,950200,28,115,5.4
356,40202,KY,38.25,-85.75,1,005900,21,111,8.7
357,40218,KY,38.19,-85.66,1,011301,21,111,8.3
358,40223,KY,38.26,-85.54,16,010406,21,111,7.8
359,40241,KY,38.31,-85.58,1,010318,21,111,8.1
360,40245,KY,38.26,-85.46,2,010307,21,111,10.0
361,40299,KY,38.2,-85.5,1,011601,21,111,9.8
362,40324,KY,38.3,-84.6,1,040603,21,209,11.1
363,41005,KY,39.0,-84.8,2,070502,21,015,9.5
364,41051,KY,38.93,-84.56,4,063605,21,117,8.8
365,41075,KY,39.08,-84.45,1,052301,21,037,6.9
366,42088,KY,36.6,-88.8,1,020500,21,083,7.7
367,42101,KY,37.0,-86.5,1,011200,21,227,5.2
368,42141,KY,36.9,-85.9,1,950900,21,009,5.9
369,43015,OH,40.3,-83.1,1,010520,39,041,11.4
370,43021,OH,40.21,-82.87,1,012300,39,041,8.5
371,43026,OH,40.02,-83.18,1,010601,39,049,4.3
372,43055,OH,40.1,-82.4,1,751900,39,089,8.3
373,43065,OH,40.17,-83.1,1,011900,39,041,6.7
374,43085,OH,40.1,-83.01,1,006722,39,049,8.4
375,43112,OH,39.8,-82.72,1,030800,39,045,12.0
376,43235,OH,40.1,-83.06,1,006387,39,049,6.2
377,43542,OH,41.57,-83.76,6,009000,39,095,9.1
378,43571,OH,41.51,-83.81,1,008901,39,095,8.9
379,44012,OH,41.5,-82.02,1,010300,39,093,11.0
380,44047,OH,41.7,-80.7,1,001302,39,007,12.2
381,44107,OH,41.48,-81.8,1,161300,39,035,5.7
382,44120,OH,41.47,-81.58,1,119900,39,035,4.7
383,44133,OH,41.31,-81.74,1,175201,39,035,3.9
384,44139,OH,41.39,-81.44,1,184104,39,035,7.9
385,44140,OH,41.49,-81.92,2,130105,39,035,8.4
386,44223,OH,41.17,-81.53,1,532902,39,153,7.7
387,44236,OH,41.25,-81.46,1,534000,39,153,6.5
388,44312,OH,41.01,-81.44,1,531102,39,153,8.3
389,44514,OH,41.01,-80.61,1,811002,39,099,8.0
390,44691,OH,40.8,-82.0,1,002000,39,169,10.8
391,44705,OH,40.83,-81.34,1,700200,39,151,8.0
392,44805,OH,40.9,-82.3,1,970400,39,005,8.8
393,45015,OH,39.36,-84.54,1,010906,39,017,8.9
394,45040,OH,39.35,-84.3,3,031902,39,165,8.2
395,45069,OH,39.34,-84.42,1,011128,39,017,4.1
396,45140,OH,39.26,-84.24,1,040302,39,025,10.0
397,45209,OH,39.15,-84.43,1,005301,39,061,2.9
398,45214,OH,39.12,-84.55,1,009200,39,061,4.2
399,45215,OH,39.24,-84.46,1,022700,39,061,9.5
