,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car truck or van drove alone,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car truck or van carpooled,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home
340,37212,TN,36.13,-86.8,3,016900,47,037,74.5,7.4,0.4,4.2,4.2,9.2
341,37221,TN,36.06,-86.96,1,018407,47,037,80.1,9.4,1.5,0.3,1.0,7.6
342,37388,TN,35.3,-86.2,1,960201,47,051,84.0,11.1,0.0,1.5,0.5,2.8
343,37604,TN,36.3,-82.38,1,060502,47,179,85.7,11.0,0.0,0.9,1.8,0.6
344,37694,TN,36.38,-82.28,1,071100,47,019,84.0,7.3,0.0,0.3,2.6,5.8
345,37774,TN,35.7,-84.4,1,060700,47,105,89.2,6.7,0.6,0.3,0.8,2.3
346,37830,TN,36.0,-84.3,1,020100,47,001,85.6,7.6,0.0,2.3,3.0,1.6
347,38011,TN,35.5,-89.7,1,040500,47,167,92.9,4.3,0.0,0.5,0.2,2.1
348,38138,TN,35.08,-89.79,1,021341,47,157,84.7,5.3,0.0,0.3,0.0,9.7
349,38231,TN,36.22,-88.42,1,969800,47,079,87.8,7.0,0.2,0.8,2.8,1.4
350,38871,MS,34.33,-89.19,1,950200,28,115,84.3,8.0,0.3,0.0,6.8,0.5
351,39090,MS,33.1,-89.5,1,060100,28,007,69.2,23.0,0.0,0.8,4.4,2.6
352,40202,KY,38.25,-85.75,1,005900,21,111,62.1,3.7,19.2,6.0,2.3,6.7
353,40218,KY,38.19,-85.66,1,011301,21,111,79.2,3.8,8.7,1.8,2.5,4.1
354,40223,KY,38.26,-85.54,16,010406,21,111,85.3,7.8,0.0,1.6,0.0,5.3
355,40241,KY,38.31,-85.58,1,010318,21,111,87.0,7.1,0.1,1.1,0.0,4.7
356,40245,KY,38.26,-85.46,2,010307,21,111,82.2,7.0,0.3,1.6,0.6,8.2
357,40258,KY,38.14,-85.86,1,012406,21,111,81.6,11.0,0.0,4.2,1.2,1.9
358,40299,KY,38.2,-85.5,1,011601,21,111,83.6,5.3,0.0,1.4,0.9,8.8
359,40324,KY,38.3,-84.6,1,040603,21,209,82.3,10.7,2.2,1.6,0.0,3.1
360,41005,KY,39.0,-84.8,2,070502,21,015,82.9,11.1,0.3,0.9,0.7,4.1
361,41051,KY,38.93,-84.56,4,063605,21,117,86.4,8.5,0.6,0.9,1.4,2.2
362,41075,KY,39.08,-84.45,1,052301,21,037,72.5,21.1,1.8,1.5,0.1,2.9
363,42088,KY,36.6,-88.8,1,020500,21,083,81.4,14.1,0.0,0.8,1.2,2.5
364,42101,KY,37.0,-86.5,1,011200,21,227,70.3,24.1,0.7,1.4,2.3,1.2
365,42141,KY,36.9,-85.9,1,950900,21,009,83.8,8.9,0.0,0.0,0.0,7.4
366,43015,OH,40.3,-83.1,1,010520,39,041,90.8,4.7,0.0,0.0,1.5,3.1
367,43021,OH,40.21,-82.87,1,012300,39,041,91.2,1.2,0.0,0.6,1.6,5.5
368,43026,OH,40.02,-83.18,1,010601,39,049,85.6,8.6,0.3,1.3,0.3,3.8
369,43055,OH,40.1,-82.4,1,751900,39,089,79.6,11.4,0.0,3.4,3.7,1.8
370,43065,OH,40.17,-83.1,1,011900,39,041,84.5,2.7,0.0,0.9,0.6,11.3
371,43082,OH,40.16,-82.87,1,011750,39,041,80.7,3.1,0.0,0.6,1.5,14.1
372,43085,OH,40.1,-83.01,1,006722,39,049,88.0,6.4,0.0,0.0,0.0,5.6
373,43112,OH,39.8,-82.72,1,030800,39,045,82.7,6.5,0.4,0.5,2.1,7.9
374,43235,OH,40.1,-83.06,1,006387,39,049,86.0,8.9,0.0,0.5,0.0,4.6
375,43542,OH,41.57,-83.76,6,009000,39,095,89.3,3.3,0.0,0.4,1.3,5.7
376,43571,OH,41.51,-83.81,1,008901,39,095,91.1,3.2,0.4,0.4,0.0,4.9
377,44012,OH,41.5,-82.02,1,010300,39,093,80.2,9.7,0.5,0.8,0.0,8.8
378,44047,OH,41.7,-80.7,1,001302,39,007,83.7,9.6,0.7,1.6,1.5,3.0
379,44107,OH,41.48,-81.8,1,161300,39,035,84.6,6.4,2.7,0.5,2.8,3.0
380,44120,OH,41.47,-81.58,1,119900,39,035,57.3,5.4,33.4,2.1,0.0,1.9
381,44133,OH,41.31,-81.74,1,175201,39,035,89.7,3.4,0.5,0.4,0.4,5.6
382,44139,OH,41.39,-81.44,1,184104,39,035,82.5,9.1,2.3,0.0,0.8,5.3
383,44140,OH,41.49,-81.92,2,130105,39,035,85.1,5.6,1.0,0.9,1.4,5.9
384,44223,OH,41.17,-81.53,1,532902,39,153,90.6,5.5,0.0,1.2,0.0,2.7
385,44236,OH,41.25,-81.46,1,534000,39,153,79.2,8.8,0.9,0.5,0.8,9.7
386,44312,OH,41.01,-81.44,1,531102,39,153,89.5,6.5,0.0,1.3,0.6,2.1
387,44514,OH,41.01,-80.61,1,811002,39,099,93.9,1.2,0.0,0.0,1.0,3.9
388,44691,OH,40.8,-82.0,1,002000,39,169,89.6,7.2,0.0,0.0,0.8,2.4
389,44705,OH,40.83,-81.34,1,700200,39,151,81.9,13.1,0.0,1.6,2.8,0.7
390,44805,OH,40.9,-82.3,1,970400,39,005,89.2,6.9,0.0,2.9,1.1,0.0
391,45015,OH,39.36,-84.54,1,010906,39,017,85.8,9.6,0.0,1.1,1.1,2.4
392,45040,OH,39.35,-84.3,3,031902,39,165,83.9,6.5,0.2,1.2,0.7,7.5
393,45069,OH,39.34,-84.42,1,011128,39,017,83.0,4.4,0.7,0.0,1.0,10.7
394,45140,OH,39.26,-84.24,1,040302,39,025,79.6,8.0,0.1,0.7,2.5,9.1
395,45209,OH,39.15,-84.43,1,005301,39,061,84.5,2.7,4.8,6.6,0.4,0.9
396,45214,OH,39.12,-84.55,1,009200,39,061,70.6,20.9,8.4,0.0,0.0,0.0
397,45215,OH,39.24,-84.46,1,022700,39,061,82.8,10.5,4.3,1.0,0.0,1.3
398,45331,OH,40.1,-84.6,4,550100,39,037,88.7,5.3,0.0,2.1,0.5,3.4
399,45338,OH,39.84,-84.57,1,420100,39,135,85.2,7.0,0.0,1.4,4.0,2.4
400,45385,OH,39.7,-83.9,1,240600,39,057,61.8,4.3,0.0,29.9,0.0,4.1
401,45414,OH,39.83,-84.21,1,080500,39,113,88.2,3.1,3.0,2.6,0.0,3.2
402,45424,OH,39.84,-84.11,1,100400,39,113,84.3,11.1,1.3,0.9,0.0,2.4
403,45440,OH,39.67,-84.1,1,220100,39,057,87.9,3.0,0.0,1.0,0.6,7.5
404,45710,OH,39.2,-82.2,1,964300,39,105,86.0,9.9,0.0,1.4,0.0,2.8
405,46148,IN,39.82,-85.52,1,976700,18,065,85.2,6.3,0.0,1.7,0.4,6.4
406,46205,IN,39.82,-86.12,1,350500,18,097,74.9,9.3,6.8,5.4,0.0,3.5
407,46219,IN,39.78,-86.05,1,360700,18,097,75.4,11.8,1.1,3.5,4.7,3.5
408,46234,IN,39.81,-86.32,1,340114,18,097,88.0,5.8,0.0,1.3,1.2,3.7
409,46237,IN,39.68,-86.09,1,380902,18,097,90.6,3.4,0.0,0.9,0.0,5.0
410,46250,IN,39.91,-86.07,1,320304,18,097,82.2,8.0,0.0,0.0,0.5,9.3
411,46260,IN,39.9,-86.18,1,320109,18,097,84.5,4.9,3.7,0.0,0.8,6.0
412,46385,IN,41.5,-87.1,1,050603,18,127,89.7,4.2,1.8,0.9,0.0,3.4
413,46514,IN,41.72,-85.97,1,001601,18,039,78.2,13.8,2.3,5.1,0.0,0.6
414,46554,IN,41.6,-86.4,1,012000,18,141,85.9,7.1,0.0,2.0,1.0,4.1
415,46637,IN,41.73,-86.24,1,011302,18,141,83.5,10.7,1.1,0.9,0.0,3.8
416,46804,IN,41.05,-85.24,1,011603,18,003,91.0,0.7,0.0,0.6,0.0,7.7
417,47150,IN,38.3,-85.8,1,070302,18,043,77.9,11.9,0.0,1.6,0.0,8.6
418,47203,IN,39.2,-85.8,1,011300,18,005,86.6,8.0,0.5,0.0,2.3,2.7
419,47265,IN,39.0,-85.6,1,960200,18,079,84.9,8.4,0.5,1.4,0.5,4.5
420,47404,IN,39.2,-86.6,1,001305,18,105,86.5,8.9,0.0,0.0,0.3,4.4
421,47710,IN,38.02,-87.58,2,003900,18,163,86.0,7.3,4.5,0.8,0.5,0.8
422,47712,IN,37.9,-87.7,1,010403,18,163,85.1,4.1,0.9,7.2,1.1,1.6
423,47906,IN,40.5,-87.0,3,010201,18,157,91.9,4.6,0.0,0.9,0.3,2.3
424,48067,MI,42.49,-83.14,1,184200,26,125,81.0,4.1,2.6,0.2,2.2,9.9
425,48069,MI,42.47,-83.14,1,187000,26,125,86.4,3.3,0.0,0.9,0.4,9.0
426,48096,MI,42.76,-82.92,1,216000,26,099,86.1,9.7,0.0,0.6,2.3,1.3
427,48103,MI,42.3,-83.9,2,448000,26,161,84.6,4.1,0.7,0.6,0.6,9.4
428,48105,MI,42.3,-83.7,1,402600,26,161,18.8,4.1,44.2,21.8,4.1,7.1
429,48137,MI,42.5,-84.1,4,732100,26,093,83.1,13.1,0.1,0.8,0.0,2.8
430,48152,MI,42.42,-83.37,2,556800,26,163,82.3,11.2,0.4,0.0,0.0,6.1
431,48158,MI,42.2,-84.0,1,432000,26,161,82.8,6.1,0.4,0.4,0.6,9.7
432,48169,MI,42.5,-83.9,1,743400,26,093,88.2,2.8,0.0,0.1,0.0,9.0
433,48301,MI,42.54,-83.28,1,150900,26,125,87.8,2.7,2.4,0.0,1.6,5.4
434,48307,MI,42.66,-83.12,1,193400,26,125,87.2,8.1,0.0,0.0,0.5,4.2
435,48322,MI,42.54,-83.38,1,157800,26,125,82.3,9.3,0.5,2.9,0.0,5.1
436,48324,MI,42.59,-83.38,1,154500,26,125,88.4,1.4,0.0,1.2,0.0,9.0
437,48357,MI,42.65,-83.64,1,131800,26,125,85.4,12.5,0.0,0.0,0.0,2.1
438,48603,MI,43.47,-84.02,1,010302,26,145,88.0,7.9,0.0,0.0,0.0,4.1
439,48611,MI,43.64,-84.09,2,285600,26,017,85.9,3.4,1.8,1.6,0.7,6.6
440,48823,MI,42.76,-84.44,1,004600,26,065,84.5,8.1,0.4,0.5,2.2,4.4
441,48840,MI,42.77,-84.37,4,011101,26,037,83.3,10.9,0.0,0.0,0.0,5.7
442,48864,MI,42.71,-84.4,1,004901,26,065,82.6,9.8,1.6,1.0,0.0,5.0
443,48910,MI,42.7,-84.52,1,002901,26,065,86.0,7.1,3.1,0.0,0.6,3.2
444,49024,MI,42.2,-85.62,1,002002,26,077,92.0,4.4,0.0,0.3,1.5,1.7
445,49245,MI,42.1,-84.8,1,003100,26,025,82.2,8.3,0.3,2.8,3.2,3.1
446,49406,MI,42.64,-86.2,1,030800,26,005,76.4,4.7,1.7,2.1,0.9,14.2
447,49412,MI,43.5,-85.9,1,970600,26,123,78.8,10.4,0.7,2.6,1.9,5.6
448,49418,MI,42.88,-85.78,1,013100,26,081,86.4,8.7,2.5,0.0,0.5,1.9
449,49426,MI,42.8,-85.9,1,023002,26,139,84.3,9.9,0.0,2.2,1.3,2.3
450,49506,MI,42.94,-85.62,1,003400,26,081,82.9,7.9,3.1,0.0,1.7,4.5
451,49507,MI,42.93,-85.65,1,003700,26,081,73.8,15.6,2.3,3.9,1.2,3.2
452,49668,MI,44.4,-85.7,1,380300,26,165,74.5,14.7,0.0,2.7,1.9,6.2
453,50135,IA,41.7,-92.9,1,040100,19,099,83.6,5.6,0.1,1.2,0.6,9.0
454,50219,IA,41.4,-92.9,1,030200,19,125,77.0,10.3,1.4,5.7,2.3,3.3
455,50263,IA,41.6,-93.9,5,050902,19,049,83.1,7.7,1.0,2.0,0.9,5.4
456,50266,IA,41.56,-93.81,1,050811,19,049,89.1,6.0,0.3,0.6,0.5,3.6
457,50627,IA,42.3,-93.1,1,480500,19,083,85.5,6.8,0.0,2.5,0.7,4.6
458,50651,IA,42.3,-92.2,2,002902,19,013,84.7,8.2,0.0,3.4,0.8,2.8
459,50701,IA,42.4,-92.4,2,003002,19,013,84.6,3.7,0.0,3.9,0.4,7.5
460,51334,IA,43.4,-94.8,4,070300,19,063,73.6,11.0,0.0,6.9,2.0,6.4
461,52314,IA,41.9,-91.5,1,010700,19,113,86.3,6.4,0.2,1.0,0.4,5.7
462,52753,IA,41.63,-90.4,1,010101,19,163,90.2,6.3,0.0,0.2,0.0,3.3
463,52803,IA,41.54,-90.56,1,011600,19,163,87.5,5.0,0.2,1.7,1.5,4.2
464,53005,WI,43.06,-88.1,1,201000,55,133,81.8,7.5,0.0,1.0,1.2,8.5
465,53072,WI,43.1,-88.3,2,203303,55,133,88.6,5.9,0.7,0.0,0.8,4.0
466,53097,WI,43.24,-87.98,1,660100,55,089,80.7,8.6,0.4,2.4,2.6,5.3
467,53149,WI,42.9,-88.3,4,202001,55,133,87.8,5.9,0.0,1.7,0.3,4.2
468,53150,WI,42.88,-88.13,1,201900,55,133,85.2,8.1,0.5,0.0,1.5,4.7
469,53154,WI,42.89,-87.89,4,160203,55,079,84.9,9.5,2.2,1.0,1.3,1.1
470,53202,WI,43.04,-87.89,1,980000,55,079,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
471,53207,WI,42.97,-87.9,1,020900,55,079,86.7,8.0,0.5,1.1,0.0,3.7
472,53211,WI,43.07,-87.89,2,007800,55,079,57.4,4.2,14.3,16.2,5.1,2.8
473,53581,WI,43.4,-90.4,1,970200,55,103,83.6,6.6,0.4,1.6,1.1,6.6
474,53593,WI,43.0,-89.6,1,010904,55,025,84.0,3.1,0.7,2.3,1.0,8.9
475,53719,WI,43.03,-89.5,1,000504,55,025,77.6,10.2,2.4,0.0,3.7,6.1
476,53901,WI,43.5,-89.5,1,970600,55,021,81.4,12.7,0.3,1.4,1.2,3.0
477,53916,WI,43.5,-88.9,2,960600,55,027,79.3,11.7,0.1,2.1,0.9,5.9
478,54313,WI,44.6,-88.1,1,020204,55,009,89.3,5.1,0.0,0.3,0.6,4.7
479,54401,WI,45.0,-89.7,1,001500,55,073,86.0,6.2,0.4,1.2,0.3,5.8
480,54452,WI,45.2,-89.7,1,960700,55,069,89.5,4.8,0.0,0.1,0.3,5.2
481,54455,WI,44.8,-89.7,1,001202,55,073,82.5,6.7,0.0,1.3,4.1,5.4
482,54467,WI,44.4,-89.5,1,961300,55,097,83.5,7.6,0.5,1.8,1.0,5.6
483,54665,WI,43.5,-90.9,1,960500,55,123,79.8,7.4,0.2,3.9,1.3,7.4
