,_1,_2,_3,_4,_5,_6,_7,_8
489,64113,MO,39.01,-94.59,4,008600,29,095
490,64137,MO,38.94,-94.54,1,010201,29,095
491,64151,MO,39.21,-94.63,4,030001,29,165
492,64154,MO,39.28,-94.63,1,030201,29,165
493,64157,MO,39.27,-94.47,1,021310,29,047
494,64505,MO,39.83,-94.84,1,010100,29,003
495,64804,MO,37.0,-94.5,1,020601,29,145
496,64836,MO,37.2,-94.3,2,012100,29,097
497,65202,MO,39.0,-92.3,9,001503,29,019
498,65584,MO,37.82,-92.11,2,470287,29,169
499,65612,MO,37.22,-93.56,1,004900,29,077
500,65669,MO,36.92,-93.31,3,020500,29,043
501,65757,MO,37.3,-93.1,2,004600,29,077
502,66053,KS,38.6,-94.7,1,100500,20,121
503,66062,KS,38.85,-94.78,1,053509,20,091
504,66086,KS,39.1,-95.1,1,071800,20,103
505,66213,KS,38.9,-94.7,1,053108,20,091
506,66220,KS,38.96,-94.82,1,052601,20,091
507,66224,KS,38.86,-94.63,1,053410,20,091
508,66762,KS,37.4,-94.8,1,956700,20,037
509,67026,KS,37.5,-97.5,1,009604,20,173
510,67207,KS,37.66,-97.23,1,007203,20,173
511,67530,KS,38.4,-98.8,1,971800,20,009
512,68008,NE,41.5,-96.2,1,050201,31,177
513,68128,NE,41.18,-96.07,1,010622,31,153
514,68164,NE,41.3,-96.11,1,007432,31,055
515,68516,NE,40.73,-96.64,1,003714,31,109
516,68521,NE,40.86,-96.71,1,003001,31,109
517,70001,LA,29.98,-90.16,2,022800,22,051
518,70005,LA,30.0,-90.13,2,022302,22,051
519,70119,LA,29.97,-90.09,1,005000,22,071
520,70121,LA,29.96,-90.16,1,024500,22,051
521,70448,LA,30.37,-90.04,1,041211,22,103
522,70506,LA,30.19,-92.08,1,001904,22,055
523,70508,LA,30.16,-92.03,1,001406,22,055
524,70806,LA,30.45,-91.12,1,001800,22,033
525,71270,LA,32.5,-92.6,5,960800,22,061
526,71655,AR,33.6,-91.8,1,490300,05,043
527,72137,AR,35.3,-92.0,1,070300,05,145
528,72401,AR,35.9,-90.6,2,001100,05,031
529,72687,AR,36.3,-92.7,4,960300,05,089
530,72704,AR,36.1,-94.3,1,010508,05,143
531,72901,AR,35.36,-94.41,4,001002,05,131
